DateTime,water_gwh,water_benchmarked_gwh,date,hour,month,variable,indicator_source,indicator_type,target_source,target_type,kind
2024-01-02 08:00:00,1.10944,2.8983140210621965,2024-01-02,8,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 09:00:00,1.26136,3.11317383105418,2024-01-02,9,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 10:00:00,1.33278,3.2141853779410035,2024-01-02,10,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 11:00:00,1.4204299999999999,3.3381141839672086,2024-01-02,11,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 12:00:00,1.4351099999999999,3.358876420676376,2024-01-02,12,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 13:00:00,1.69143,3.721219529171748,2024-01-02,13,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 14:00:00,1.8848600000000002,3.9946511713909327,2024-01-02,14,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 15:00:00,2.2184099999999995,4.466149049774497,2024-01-02,15,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 16:00:00,2.40716,4.732932158664562,2024-01-02,16,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 17:00:00,2.21536,4.461717198802897,2024-01-02,17,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 18:00:00,1.4666299999999999,3.403127686923452,2024-01-02,18,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 19:00:00,0.8461999999999998,2.5257449492060307,2024-01-02,19,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 20:00:00,0.70259,2.3220856736013653,2024-01-02,20,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 21:00:00,0.607,2.1856611101593155,2024-01-02,21,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 22:00:00,0.52825,2.0717464521888567,2024-01-02,22,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-02 23:00:00,0.5426,2.086849563307494,2024-01-02,23,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 00:00:00,0.5173300000000001,2.04076212430342,2024-01-03,0,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 01:00:00,0.5251600000000001,2.0466483519763243,2024-01-03,1,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 02:00:00,0.49738000000000004,2.004786426424838,2024-01-03,2,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 03:00:00,0.48685999999999996,1.988619374220371,2024-01-03,3,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 04:00:00,0.4851,1.9854835056075357,2024-01-03,4,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 05:00:00,0.6726099999999999,2.250229369318866,2024-01-03,5,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 06:00:00,0.87686,2.5388012310430517,2024-01-03,6,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 07:00:00,1.25458,3.072676329136215,2024-01-03,7,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 08:00:00,1.04516,2.7765922176562614,2024-01-03,8,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 09:00:00,0.812,2.4469676860209195,2024-01-03,9,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 10:00:00,0.74148,2.34726404259787,2024-01-03,10,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 11:00:00,0.6316999999999999,2.1920620363045584,2024-01-03,11,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 12:00:00,0.61966,2.175022269983331,2024-01-03,12,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 13:00:00,0.76156,2.3755809661832807,2024-01-03,13,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 14:00:00,0.85559,2.5084355476848756,2024-01-03,14,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 15:00:00,1.47591,3.385201690715344,2024-01-03,15,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 16:00:00,1.73346,3.749008190203697,2024-01-03,16,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 17:00:00,2.35908,4.632855897696021,2024-01-03,17,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 18:00:00,2.01803,4.149641313000393,2024-01-03,18,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 19:00:00,1.40436,3.2799469556296503,2024-01-03,19,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 20:00:00,0.9404899999999999,2.6198229447019004,2024-01-03,20,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 21:00:00,0.77376,2.375362080170319,2024-01-03,21,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 22:00:00,0.57565,2.0777752815006623,2024-01-03,22,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-03 23:00:00,0.53161,1.9804541679203056,2024-01-03,23,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 00:00:00,0.5151300000000001,1.8870279048247451,2024-01-04,0,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 01:00:00,0.48844000000000004,1.8142332854330006,2024-01-04,1,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 02:00:00,0.47581,1.7788467209792989,2024-01-04,2,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 03:00:00,0.49503,1.797250498637824,2024-01-04,3,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 04:00:00,0.5435099999999999,1.8614002120006417,2024-01-04,4,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 05:00:00,0.69761,2.0770491528116795,2024-01-04,5,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 06:00:00,1.49356,3.2011327625433674,2024-01-04,6,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 07:00:00,2.43424,4.530359023492759,2024-01-04,7,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 08:00:00,1.77238,3.5944593627770614,2024-01-04,8,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 09:00:00,2.09488,4.0502181821656205,2024-01-04,9,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 10:00:00,1.3474499999999998,2.9935594036625175,2024-01-04,10,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 11:00:00,1.5611300000000001,3.295589269420031,2024-01-04,11,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 12:00:00,1.7665600000000001,3.58597329147496,2024-01-04,12,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 13:00:00,2.54438,4.685512960464404,2024-01-04,13,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 14:00:00,3.96914,6.699589146066255,2024-01-04,14,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 15:00:00,4.78506,7.8529884300943475,2024-01-04,15,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 16:00:00,5.72476,9.18135981617818,2024-01-04,16,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 17:00:00,5.53748,8.916581780304407,2024-01-04,17,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 18:00:00,5.46021,8.807284798919085,2024-01-04,18,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 19:00:00,4.90076,8.016298007556868,2024-01-04,19,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 20:00:00,3.28268,5.728668424122105,2024-01-04,20,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 21:00:00,2.34681,4.405170051932247,2024-01-04,21,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 22:00:00,1.4163,3.08872503526293,2024-01-04,22,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-04 23:00:00,0.9664599999999999,2.4507224788757775,2024-01-04,23,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 00:00:00,0.6307299999999999,1.9719344441348605,2024-01-05,0,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 01:00:00,0.5967899999999999,1.921860924158727,2024-01-05,1,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 02:00:00,0.56123,1.8705447648820264,2024-01-05,2,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 03:00:00,0.59274,1.9145645382369385,2024-01-05,3,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 04:00:00,0.6374599999999999,1.9775202257421078,2024-01-05,4,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 05:00:00,1.2713900000000002,2.8735322035371684,2024-01-05,5,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 06:00:00,1.8917799999999998,3.7504690487098915,2024-01-05,6,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 07:00:00,2.6613499999999997,4.83832398793634,2024-01-05,7,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 08:00:00,2.4013,4.470692643415528,2024-01-05,8,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 09:00:00,2.4055299999999997,4.476663518758062,2024-01-05,9,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 10:00:00,2.06834,3.9999960729797035,2024-01-05,10,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 11:00:00,2.2163,4.209152435627797,2024-01-05,11,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 12:00:00,2.10311,4.049137750553579,2024-01-05,12,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 13:00:00,2.29333,4.318028488175787,2024-01-05,13,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 14:00:00,2.54028,4.667105160820141,2024-01-05,14,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 15:00:00,4.07371,6.8347704706719785,2024-01-05,15,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 16:00:00,5.44683,8.775778323557818,2024-01-05,16,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 17:00:00,5.72846,9.17374562485306,2024-01-05,17,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 18:00:00,3.97961,6.7012104654838565,2024-01-05,18,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 19:00:00,2.65959,4.834575597944154,2024-01-05,19,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 20:00:00,1.54583,3.2589022268706285,2024-01-05,20,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 21:00:00,1.53381,3.239454433177016,2024-01-05,21,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 22:00:00,1.1375600000000001,2.6743913446687455,2024-01-05,22,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
2024-01-05 23:00:00,0.8072599999999999,2.1976453051040825,2024-01-05,23,1,Water,ENTSO-E,"Hydro Run-of-river and poundage, Hydro Water Reservoir, Hydro Pumped Storage",SFOE,"Flusskraft, Speicherkraft",aggregate
