DateTime,storage_high_frequency_original_gwh,storage_benchmarked_gwh,date,hour,month,source_profile,daily_target_source,variable,target_columns,indicator_columns,kind
2024-01-02 02:00:00,0.30885,0.7635881945435934,2024-01-02,2,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 03:00:00,0.31508,0.7843610668437329,2024-01-02,3,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 04:00:00,0.39395,0.8857060441133213,2024-01-02,4,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 05:00:00,0.54533,1.0707901519197665,2024-01-02,5,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 06:00:00,0.79901,1.3770435838151462,2024-01-02,6,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 07:00:00,0.75973,1.3307106529294421,2024-01-02,7,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 08:00:00,0.8415600000000001,1.4293779429024838,2024-01-02,8,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 09:00:00,1.0188300000000001,1.6424308803878729,2024-01-02,9,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 10:00:00,1.11693,1.7603192091144224,2024-01-02,10,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 11:00:00,1.2052,1.8663491772476895,2024-01-02,11,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 12:00:00,1.21948,1.8835065985552382,2024-01-02,12,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 13:00:00,1.47363,2.1886470858020246,2024-01-02,13,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 14:00:00,1.66438,2.417628169260384,2024-01-02,14,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 15:00:00,1.96921,2.78352338181703,2024-01-02,15,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 16:00:00,2.14223,2.9910378561737545,2024-01-02,16,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 17:00:00,1.9635799999999999,2.7760721703415916,2024-01-02,17,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 18:00:00,1.2275800000000001,1.8914367164554964,2024-01-02,18,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 19:00:00,0.6246499999999999,1.1656524436695639,2024-01-02,19,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 20:00:00,0.48230999999999996,0.9910458099909358,2024-01-02,20,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 21:00:00,0.38735,0.8696280799636176,2024-01-02,21,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 22:00:00,0.3066,0.7578723215069539,2024-01-02,22,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-02 23:00:00,0.3248,0.7501255008791818,2024-01-02,23,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 00:00:00,0.29733000000000004,0.657943506825718,2024-01-03,0,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 01:00:00,0.30433000000000004,0.6367489023995265,2024-01-03,1,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 02:00:00,0.27658,0.5886299085958935,2024-01-03,2,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 03:00:00,0.26941,0.5726210654542007,2024-01-03,3,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 04:00:00,0.2702,0.5698696799815398,2024-01-03,4,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 05:00:00,0.45403,0.788743312719136,2024-01-03,5,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 06:00:00,0.65768,1.0323396843780668,2024-01-03,6,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 07:00:00,0.9801500000000001,1.4190650198838324,2024-01-03,7,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 08:00:00,0.77363,1.1708664083881806,2024-01-03,8,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 09:00:00,0.5757,0.9330973673987921,2024-01-03,9,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 10:00:00,0.51393,0.8588726200951915,2024-01-03,10,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 11:00:00,0.4048,0.7278118450108284,2024-01-03,11,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 12:00:00,0.39526,0.7163425312628021,2024-01-03,12,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 13:00:00,0.52086,0.8671420091090857,2024-01-03,13,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 14:00:00,0.60816,0.9719580373125922,2024-01-03,14,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 15:00:00,1.20053,1.68320949826863,2024-01-03,15,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 16:00:00,1.4799799999999999,2.018738745402125,2024-01-03,16,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 17:00:00,2.0985300000000002,2.761419999198993,2024-01-03,17,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 18:00:00,1.7804799999999998,2.3795237153146154,2024-01-03,18,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 19:00:00,1.17993,1.6584161624391542,2024-01-03,19,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 20:00:00,0.71861,1.1044507260701377,2024-01-03,20,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 21:00:00,0.55183,0.9040765995640471,2024-01-03,21,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 22:00:00,0.35365,0.6658783595769833,2024-01-03,22,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-03 23:00:00,0.30938,0.6122342953499599,2024-01-03,23,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 00:00:00,0.2942,0.593029098513314,2024-01-04,0,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 01:00:00,0.26656,0.5593525811918372,2024-01-04,1,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 02:00:00,0.25423,0.5443033533959052,2024-01-04,2,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 03:00:00,0.27578,0.5700559704167798,2024-01-04,3,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 04:00:00,0.32478,0.628828798339159,2024-01-04,4,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 05:00:00,0.46608,0.7984562590799771,2024-01-04,5,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 06:00:00,1.2588599999999999,1.750327184041122,2024-01-04,6,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 07:00:00,2.16556,2.838988757381775,2024-01-04,7,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 08:00:00,1.5110800000000002,2.053154354783273,2024-01-04,8,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 09:00:00,1.8254,2.4305540436282507,2024-01-04,9,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 10:00:00,1.10035,1.5599886580092452,2024-01-04,10,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 11:00:00,1.32773,1.8329997016572641,2024-01-04,11,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 12:00:00,1.54828,2.097807934658604,2024-01-04,12,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 13:00:00,2.31628,3.0199316686165507,2024-01-04,13,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 14:00:00,3.72041,4.705843781427289,2024-01-04,14,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 15:00:00,4.51538,5.660322621127906,2024-01-04,15,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 16:00:00,5.4436599999999995,6.774829070384394,2024-01-04,16,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 17:00:00,5.2577300000000005,6.551436247318661,2024-01-04,17,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 18:00:00,5.20893,6.4925468565055935,2024-01-04,18,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 19:00:00,4.651059999999999,5.8221245954288126,2024-01-04,19,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 20:00:00,3.02928,3.8736808209097844,2024-01-04,20,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 21:00:00,2.11671,2.7755992723984084,2024-01-04,21,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 22:00:00,1.189,1.6569751049411827,2024-01-04,22,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-04 23:00:00,0.74038,1.108863265844935,2024-01-04,23,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 00:00:00,0.40818,0.6910797963854108,2024-01-05,0,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 01:00:00,0.37231000000000003,0.6385544543159278,2024-01-05,1,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 02:00:00,0.33938,0.5942873683179835,2024-01-05,2,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 03:00:00,0.37741,0.6375856385683456,2024-01-05,3,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 04:00:00,0.41073,0.6764106769384226,2024-01-05,4,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 05:00:00,1.05031,1.4437595282186777,2024-01-05,5,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 06:00:00,1.6560799999999998,2.170808354941394,2024-01-05,6,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 07:00:00,2.3975999999999997,3.0609990262126714,2024-01-05,7,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 08:00:00,2.13705,2.7480837341271833,2024-01-05,8,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 09:00:00,2.14648,2.7593682218996873,2024-01-05,9,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 10:00:00,1.8261600000000002,2.3747411728511247,2024-01-05,10,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 11:00:00,1.9808999999999997,2.5605228725453246,2024-01-05,11,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 12:00:00,1.8625800000000001,2.418443177337742,2024-01-05,12,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 13:00:00,2.04873,2.641932182260106,2024-01-05,13,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 14:00:00,2.29615,2.938970972789257,2024-01-05,14,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 15:00:00,3.8179099999999995,4.766067096523612,2024-01-05,15,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 16:00:00,5.16588,6.384423285607412,2024-01-05,16,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 17:00:00,5.45426,6.730392948355746,2024-01-05,17,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 18:00:00,3.72023,4.647780512497442,2024-01-05,18,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 19:00:00,2.43141,3.09915641461403,2024-01-05,19,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 20:00:00,1.32003,1.7624380411157712,2024-01-05,20,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 21:00:00,1.30763,1.742967587966432,2024-01-05,21,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 22:00:00,0.91073,1.257248411172182,2024-01-05,22,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-05 23:00:00,0.5901299999999999,0.8539785244381256,2024-01-05,23,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 00:00:00,0.4308,0.6260172325088984,2024-01-06,0,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 01:00:00,0.4967,0.6868156245358696,2024-01-06,1,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 02:00:00,0.43243,0.6004833329733279,2024-01-06,2,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 03:00:00,0.42439999999999994,0.5862599096530956,2024-01-06,3,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 04:00:00,0.43763,0.5998541493252265,2024-01-06,4,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 05:00:00,0.48801000000000005,0.6591996098379181,2024-01-06,5,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 06:00:00,0.6068,0.8012572347880706,2024-01-06,6,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 07:00:00,1.0976599999999999,1.3903433871664996,2024-01-06,7,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 08:00:00,1.45938,1.8245148814504617,2024-01-06,8,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 09:00:00,1.409,1.7639515155865544,2024-01-06,9,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 10:00:00,2.1677299999999997,2.6749167644133496,2024-01-06,10,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 11:00:00,2.98453,3.655622609637577,2024-01-06,11,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 12:00:00,2.58658,3.177790996539064,2024-01-06,12,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 13:00:00,2.40591,2.960844240399037,2024-01-06,13,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 14:00:00,3.27363,4.0026825614320325,2024-01-06,14,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 15:00:00,4.26765,5.196143920957706,2024-01-06,15,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 16:00:00,4.92323,5.983191423734239,2024-01-06,16,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 17:00:00,4.741009999999999,5.764194675410254,2024-01-06,17,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 18:00:00,4.16913,5.077129608890318,2024-01-06,18,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 19:00:00,2.38176,2.930220939607714,2024-01-06,19,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 20:00:00,1.3143,1.6468800723877868,2024-01-06,20,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 21:00:00,1.34361,1.6787766371750181,2024-01-06,21,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 22:00:00,0.9370099999999999,1.1839828719961631,2024-01-06,22,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-06 23:00:00,0.81885,1.0289257995938137,2024-01-06,23,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-07 00:00:00,0.58808,0.7254755137388843,2024-01-07,0,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-07 01:00:00,0.58606,0.7098670669766245,2024-01-07,1,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-07 02:00:00,0.42548,0.5104680953235663,2024-01-07,2,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-07 03:00:00,0.40145,0.47831968758977855,2024-01-07,3,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
2024-01-07 04:00:00,0.4097299999999999,0.4866136242028259,2024-01-07,4,1,ENTSO-E,SFOE,Storage,Speicherkraft,"Hydro Water Reservoir, Hydro Pumped Storage",atomic
