Date,hourly_daily_sum_gwh,daily_reference_gwh,difference_gwh,relative_difference_pct
2026-02-26,46.8955,46.9,0.0045000000000001705,0.009594882729211452
2026-02-27,46.91046,46.8,-0.11046000000000333,-0.2360256410256482
2026-02-28,47.00032,46.9,-0.10032000000000352,-0.21390191897655333
2026-03-01,47.01864,47.0,-0.01863999999999777,-0.039659574468080355
2026-03-02,47.02135,47.0,-0.021349999999998204,-0.045425531914889794
2026-03-03,46.97477,47.0,0.02523000000000053,0.053680851063830914
2026-03-04,46.98795,47.0,0.012050000000002115,0.025638297872344923
2026-03-05,46.99221,47.0,0.007789999999999964,0.016574468085106306
2026-03-06,46.96279,46.9,-0.06278999999999968,-0.1338805970149247
2026-03-07,46.96799,47.0,0.03200999999999965,0.06810638297872265
2026-03-08,46.9552,47.0,0.04480000000000217,0.09531914893617484
2026-03-09,46.92188,46.9,-0.021880000000003008,-0.04665245202559277
2026-03-10,46.9204,46.9,-0.020400000000002194,-0.04349680170576161
2026-03-11,46.88525,46.9,0.014749999999999375,0.03144989339019057
2026-03-12,46.94191,46.9,-0.041910000000001446,-0.08936034115138901
2026-03-13,41.24706,41.7,0.4529400000000052,1.0861870503597246
2026-03-14,38.27787,38.3,0.022129999999997096,0.057780678851167354
2026-03-15,38.31206,38.3,-0.012060000000005289,-0.031488250652755324
2026-03-16,38.24608,38.3,0.05391999999999797,0.1407832898172271
2026-03-17,38.2131,38.2,-0.013099999999994338,-0.034293193717262666
2026-03-18,38.21244,38.2,-0.012439999999998008,-0.0325654450261728
2026-03-19,38.1623,38.2,0.037700000000000955,0.09869109947644229
2026-03-20,38.19385,38.1,-0.09384999999999621,-0.24632545931757535
2026-03-21,38.24312,38.2,-0.04311999999999472,-0.11287958115181863
2026-03-22,38.19757,38.2,0.002430000000003929,0.0063612565445129035
2026-03-23,43.80204,42.8,-1.002040000000001,-2.3412149532710305
2026-03-24,55.2286,55.1,-0.12859999999999872,-0.23339382940108658
2026-03-25,57.537220000000005,57.5,-0.037220000000004916,-0.06473043478261724
2026-03-26,59.00523,58.9,-0.10522999999999882,-0.17865874363327475
2026-03-27,60.38178,60.3,-0.08178000000000196,-0.13562189054726695
2026-03-28,61.80921,61.6,-0.20920999999999879,-0.3396266233766214
2026-03-29,62.56694,62.5,-0.06694000000000244,-0.10710400000000392
2026-03-30,62.46269,62.5,0.037309999999997956,0.059695999999996724
2026-03-31,2.59972,62.3,59.70028,95.82709470304977
